series,mode,mode_order,mean_period,spearman_corr,spearman_pvalue,spearman_significance,variance_contribution,run_length_number,rln_ratio,log_mean_period,log_rln_ratio,scaled_log_mean_period,scaled_log_rln_ratio,hierarchical_cluster,hierarchical_cluster_mean_period,hierarchical_cluster_mean_rln_ratio,scale
platinum_futures,IMF7,7,221.42857142857142,0.047282843912670326,0.008463229458212259,***,0.006901258111588779,26.0,0.008387096774193548,5.400100060857979,-4.7810608524517555,0.5785293917336808,-0.6212536646608345,1.0,747.3214285714286,0.004274193548387097,LTC
platinum_futures,IMF8,8,442.85714285714283,0.028202428642252714,0.11643285342015669,,0.001255214498798102,14.0,0.004516129032258065,6.093247241417925,-5.400100060857979,0.9175700606598233,-0.932247366352896,1.0,747.3214285714286,0.004274193548387097,LTC
platinum_futures,IMF9,9,775.0,0.02171485802797803,0.22678310590366396,,0.0003164037695831418,8.0,0.0025806451612903226,6.652863029353347,-5.959715848793402,1.1912962134950469,-1.213387854793736,1.0,747.3214285714286,0.004274193548387097,LTC
platinum_futures,IMF10,10,1550.0,-0.016078418045309042,0.37083774831705985,,1.6292737550668029e-09,5.0,0.0016129032258064516,7.346010209913293,-6.429719478039138,1.5303368824211894,-1.4495088734351216,1.0,747.3214285714286,0.004274193548387097,LTC
platinum_futures,residue,11,inf,0.03387531332678826,0.059311372080034,*,0.00012369349294579318,,,,,,,,,,LTC
palladium_futures,IMF1,1,2.724077328646749,0.731047118693767,0.0,***,0.5590049581288936,2120.0,0.6838709677419355,1.0021297757869614,-0.3799860228071795,-1.4615243884727125,1.4731756752528988,1.0,6.258170570663854,0.40086021505376346,STC
palladium_futures,IMF2,2,5.506216696269982,0.4583576181073534,6.932702224349529e-161,***,0.2433513934878062,1068.0,0.3445161290322581,1.7058777623335473,-1.0656143709530974,-1.1171217377860496,1.1344626979394223,1.0,6.258170570663854,0.40086021505376346,STC
palladium_futures,IMF3,3,10.54421768707483,0.31285465532204926,2.3207217538937377e-71,***,0.11107976902636536,540.0,0.17419354838709677,2.355577623134556,-1.7475882509149177,-0.7991693478848797,0.7975550949260024,1.0,6.258170570663854,0.40086021505376346,STC
palladium_futures,IMF4,4,21.379310344827587,0.23720448995469737,6.621813621588313e-41,***,0.05047627008559456,268.0,0.08645161290322581,3.0624236480526634,-2.4481704099623807,-0.4532505683460169,0.45145466079814217,3.0,103.42677437505023,0.037822580645161294,MTC
palladium_futures,IMF5,5,46.96969696969697,0.14097514268823913,3.135109426354092e-15,***,0.02185423580945356,124.0,0.04,3.849502648446812,-3.2188758248682006,-0.06806709469126193,0.07071205232768342,3.0,103.42677437505023,0.037822580645161294,MTC
palladium_futures,IMF6,6,106.89655172413794,0.09041211573196035,4.6013156922582407e-07,***,0.0076052299149725255,56.0,0.01806451612903226,4.6718615604867635,-4.013805699738088,0.3343817854997595,-0.3219978836029496,3.0,103.42677437505023,0.037822580645161294,MTC
palladium_futures,IMF7,7,238.46153846153845,0.027492280088374264,0.12592336820440567,,0.0033929259931767893,21.0,0.0067741935483870966,5.474208033011701,-4.994634952749815,0.7270369080567459,-0.806545521433483,3.0,103.42677437505023,0.037822580645161294,MTC
palladium_futures,IMF8,8,620.0,0.03141655804404245,0.08030378521084794,*,0.0021583262482158445,8.0,0.0025806451612903226,6.429719478039138,-5.959715848793402,1.194648440480091,-1.2833131821220292,2.0,1085.0,0.002096774193548387,LTC
palladium_futures,IMF9,9,1550.0,0.06377589320270342,0.00038075345489635746,***,0.0010362906792810247,5.0,0.0016129032258064516,7.346010209913293,-6.429719478039138,1.6430660031443238,-1.5155035940856865,2.0,1085.0,0.002096774193548387,LTC
palladium_futures,residue,10,inf,0.01864677465553062,0.29932592869041885,,4.0600626240519325e-05,,,,,,,,,,LTC
gold_spot,IMF1,1,2.7312775330396475,0.7388784377336496,0.0,***,0.5838015652582133,2173.0,0.7009677419354838,1.0047694605577346,-0.35529341021680805,-1.5421660419038556,1.5541328042370368,2.0,6.25850094768835,0.4079569892473118,STC
gold_spot,IMF2,2,5.391304347826087,0.449534683950103,4.3338793410118274e-154,***,0.19334392112426793,1078.0,0.34774193548387095,1.6847873496758872,-1.0562946390042953,-1.2115640905069198,1.2134698943818396,2.0,6.25850094768835,0.4079569892473118,STC
gold_spot,IMF3,3,10.652920962199312,0.29388366228187546,8.351337865494136e-63,***,0.1067028997113648,543.0,0.17516129032258065,2.3658341233017453,-1.7420480705393022,-0.8804619298780615,0.8802168987573158,2.0,6.25850094768835,0.4079569892473118,STC
gold_spot,IMF4,4,21.232876712328768,0.2247253663404597,8.72505600012604e-37,***,0.06686064697603393,273.0,0.08806451612903225,3.0555507687649013,-2.429685595288278,-0.5451447675652195,0.5460482974956675,3.0,90.10233682514101,0.040241935483870964,MTC
gold_spot,IMF5,5,41.333333333333336,0.14310994406501382,1.1845009131529045e-15,***,0.02242387670301799,135.0,0.043548387096774194,3.721669276936927,-3.133882612034808,-0.2213002302562541,0.20383234268034825,3.0,90.10233682514101,0.040241935483870964,MTC
gold_spot,IMF6,6,91.17647058823529,0.11679469779676958,6.911542377752623e-11,***,0.015736675973929012,66.0,0.02129032258064516,4.5127968658570765,-3.849502648446812,0.1633195406149654,-0.143934813700344,3.0,90.10233682514101,0.040241935483870964,MTC
gold_spot,IMF7,7,206.66666666666666,0.07142921289753817,6.877298448055242e-05,***,0.006141580315487817,25.0,0.008064516129032258,5.331107189371028,-4.820281565605037,0.5611546477954542,-0.615700564121667,3.0,90.10233682514101,0.040241935483870964,MTC
gold_spot,IMF8,8,442.85714285714283,0.02496318194709355,0.16466644072295242,,0.00101833971887778,14.0,0.004516129032258065,6.093247241417925,-5.400100060857979,0.9316816478589592,-0.8974727603307686,1.0,922.6190476190477,0.0026881720430107525,LTC
gold_spot,IMF9,9,775.0,0.05950987239369622,0.0009165255690389826,***,0.0034384202006386083,7.0,0.0022580645161290325,6.652863029353347,-6.093247241417925,1.2037481250569424,-1.2343188681413169,1.0,922.6190476190477,0.0026881720430107525,LTC
gold_spot,IMF10,10,1550.0,0.033895520293918055,0.05915981785599145,*,0.00011986944424621458,4.0,0.0012903225806451613,7.346010209913293,-6.652863029353347,1.5407330987839887,-1.5062732312581095,1.0,922.6190476190477,0.0026881720430107525,LTC
gold_spot,residue,11,inf,0.06636149809407688,0.00021778656340323653,***,0.0004122045739224254,,,,,,,,,,LTC
silver_spot,IMF1,1,2.7121609798775155,0.7308787972352437,0.0,***,0.5369392088029812,2164.0,0.6980645161290323,0.997745726678427,-0.3594437505068654,-1.5492416351743041,1.5603521956756534,2.0,6.2737988572905765,0.4083870967741936,STC
silver_spot,IMF2,2,5.419580419580419,0.44361091640100514,1.2261349514543905e-149,***,0.16822394211123354,1084.0,0.3496774193548387,1.6900183990934396,-1.050744208473646,-1.2123219450788199,1.2229663900688914,2.0,6.2737988572905765,0.4083870967741936,STC
silver_spot,IMF3,3,10.689655172413794,0.29463324461886076,3.94239001594739e-63,***,0.11555125639889427,550.0,0.1774193548387097,2.369276467492718,-1.729239112246721,-0.8817362856715607,0.8918302725219226,2.0,6.2737988572905765,0.4083870967741936,STC
