lag,aic,bic,n_obs,target,network_id
4,-10429.15966091118,-10254.061540104602,3096,palladium_futures_LTC,same_scale_LTC
5,-10598.861115348747,-10381.509560684473,3095,palladium_futures_LTC,same_scale_LTC
1,-11136.759220670112,-11088.44854260781,3099,gold_spot_LTC,same_scale_LTC
2,-11952.416224967921,-11861.838544653268,3098,gold_spot_LTC,same_scale_LTC
3,-13130.823366290933,-12997.983204331524,3097,gold_spot_LTC,same_scale_LTC
4,-14544.398855562387,-14369.300734755809,3096,gold_spot_LTC,same_scale_LTC
5,-14747.314276904654,-14529.96272224038,3095,gold_spot_LTC,same_scale_LTC
1,-4101.916211677225,-4053.605533614923,3099,silver_spot_LTC,same_scale_LTC
2,-4731.101636143228,-4640.523955828576,3098,silver_spot_LTC,same_scale_LTC
3,-5058.343957385707,-4925.503795426296,3097,silver_spot_LTC,same_scale_LTC
4,-5438.817227078038,-5263.719106271459,3096,silver_spot_LTC,same_scale_LTC
5,-5435.511201541147,-5218.159646876874,3095,silver_spot_LTC,same_scale_LTC
1,-8884.366484249618,-8836.055806187316,3099,platinum_spot_LTC,same_scale_LTC
2,-9886.709945737493,-9796.13226542284,3098,platinum_spot_LTC,same_scale_LTC
3,-12321.625622963838,-12188.785461004429,3097,platinum_spot_LTC,same_scale_LTC
4,-12734.364339171301,-12559.266218364723,3096,platinum_spot_LTC,same_scale_LTC
5,-12820.715092127506,-12603.363537463232,3095,platinum_spot_LTC,same_scale_LTC
1,-4473.869849290127,-4425.559171227825,3099,palladium_spot_LTC,same_scale_LTC
2,-5039.700308309511,-4949.122627994859,3098,palladium_spot_LTC,same_scale_LTC
3,-5613.009407281519,-5480.1692453221085,3097,palladium_spot_LTC,same_scale_LTC
4,-6299.110884994272,-6124.012764187693,3096,palladium_spot_LTC,same_scale_LTC
5,-6376.642162636632,-6159.290607972359,3095,palladium_spot_LTC,same_scale_LTC
1,8838.710464533553,8874.943473080279,3099,gold_futures_STC,within_gold
2,8682.22978105377,8748.653413284514,3098,gold_futures_STC,within_gold
3,8571.671434089412,8668.282460968983,3097,gold_futures_STC,within_gold
4,8496.097398937645,8622.892589866547,3096,gold_futures_STC,within_gold
5,8444.6947134321,8601.670836245186,3095,gold_futures_STC,within_gold
1,8621.339129717682,8657.572138264408,3099,gold_spot_STC,within_gold
