network_id,network_type,network_scale,network_metal,target,source,lag,selected_lag,lagged_r2g,lagged_r2g_percent
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,silver_spot_STC,5,5,0.0011385818283713145,0.11385818283713145
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_spot_STC,1,5,0.004182797462284264,0.4182797462284264
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_spot_STC,2,5,0.0030390640776618246,0.30390640776618244
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_spot_STC,3,5,0.004675970037148441,0.46759700371484414
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_spot_STC,4,5,0.0013511833865985613,0.13511833865985612
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,platinum_spot_STC,5,5,0.002576098397023973,0.2576098397023973
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,palladium_spot_STC,1,5,0.0011655335027389573,0.11655335027389573
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,palladium_spot_STC,2,5,0.012483955021463185,1.2483955021463184
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,palladium_spot_STC,3,5,0.010077867108167307,1.0077867108167307
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,palladium_spot_STC,4,5,0.008291571182900345,0.8291571182900346
same_scale_STC,same_scale_cross_metal,STC,,palladium_futures_STC,palladium_spot_STC,5,5,0.004126475895718504,0.4126475895718504
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,gold_futures_STC,1,5,0.038613319769076476,3.8613319769076475
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,gold_futures_STC,2,5,0.04955479185097235,4.955479185097235
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,gold_futures_STC,3,5,0.015502224779248357,1.5502224779248357
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,gold_futures_STC,4,5,0.003598600775510166,0.3598600775510166
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,gold_futures_STC,5,5,0.0011308589096676027,0.11308589096676028
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_futures_STC,1,5,0.003914351817954447,0.39143518179544473
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_futures_STC,2,5,0.005402567489490476,0.5402567489490476
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_futures_STC,3,5,0.0033414481041783625,0.3341448104178362
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_futures_STC,4,5,0.002898483949863867,0.2898483949863867
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_futures_STC,5,5,0.005980109490238463,0.5980109490238462
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_futures_STC,1,5,0.0022799393395328874,0.22799393395328874
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_futures_STC,2,5,0.004314032050559318,0.43140320505593177
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_futures_STC,3,5,0.004294082786645899,0.42940827866458986
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_futures_STC,4,5,0.002156101356580292,0.2156101356580292
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,platinum_futures_STC,5,5,0.006509240653761406,0.6509240653761406
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_futures_STC,1,5,0.0006643452325777405,0.06643452325777405
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_futures_STC,2,5,0.002114915023945825,0.2114915023945825
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_futures_STC,3,5,0.0017792110165243216,0.17792110165243216
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_futures_STC,4,5,0.0008204568772759306,0.08204568772759306
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,palladium_futures_STC,5,5,0.002755272654815467,0.2755272654815467
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_spot_STC,1,5,0.003774946604267675,0.3774946604267675
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_spot_STC,2,5,0.008387000408725134,0.8387000408725134
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_spot_STC,3,5,0.003514895799306591,0.3514895799306591
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_spot_STC,4,5,0.0033916049056075216,0.33916049056075215
same_scale_STC,same_scale_cross_metal,STC,,gold_spot_STC,silver_spot_STC,5,5,0.0018599227962750894,0.18599227962750894
