network_id,network_type,network_scale,network_metal,target,source,selected_lag,lagged_r2g,lagged_r2g_percent
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,platinum_futures_LTC,5,0.048831199201077244,4.883119920107724
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_spot_LTC,5,0.18275433374461122,18.275433374461123
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,silver_spot_LTC,5,0.02094017044456712,2.094017044456712
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,platinum_spot_LTC,5,0.051490541837081856,5.149054183708186
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,palladium_spot_LTC,5,0.5173261185300582,51.732611853005814
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,gold_futures_LTC,5,0.14655125862954588,14.655125862954588
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_futures_LTC,5,0.39036241698132934,39.03624169813293
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,platinum_futures_LTC,5,0.03863202930669203,3.8632029306692033
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_futures_LTC,5,0.17193129117693026,17.193129117693026
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_spot_LTC,5,0.05930336060180828,5.930336060180828
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,platinum_spot_LTC,5,0.029411804960250084,2.9411804960250083
same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_spot_LTC,5,0.05283642635578138,5.283642635578138
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_futures_LTC,4,0.17182839619358925,17.182839619358926
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,silver_futures_LTC,4,0.0419525893062342,4.19525893062342
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_futures_LTC,4,0.21639169198826214,21.639169198826213
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_futures_LTC,4,0.01692130189380108,1.6921301893801082
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_spot_LTC,4,0.056192932788334614,5.619293278833461
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_spot_LTC,4,0.20978428863963725,20.978428863963725
same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_spot_LTC,4,0.03799293738335614,3.7992937383356145
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,gold_futures_LTC,5,0.03236680198239056,3.236680198239056
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_futures_LTC,5,0.012648512341352487,1.2648512341352487
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,platinum_futures_LTC,5,0.5680587266385967,56.80587266385967
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_futures_LTC,5,0.04663975148009834,4.663975148009834
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,gold_spot_LTC,5,0.024966761416357737,2.4966761416357737
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_spot_LTC,5,0.18293065315947285,18.293065315947285
same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_spot_LTC,5,0.0762142210613868,7.62142210613868
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,gold_futures_LTC,5,0.048199780949421935,4.8199780949421935
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_futures_LTC,5,0.018622939328413798,1.8622939328413797
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_futures_LTC,5,0.06966521529969531,6.966521529969532
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,palladium_futures_LTC,5,0.44020673734614624,44.020673734614626
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,gold_spot_LTC,5,0.04604203401557307,4.6042034015573075
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_spot_LTC,5,0.046461063759523906,4.646106375952391
same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_spot_LTC,5,0.11128629830265739,11.128629830265739
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_spot_STC,5,0.12148108535960499,12.148108535960498
within_gold,within_metal_cross_scale,,gold,gold_futures_STC,gold_futures_MTC,5,0.013304489764746507,1.3304489764746508
