date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,source,target,source_to_target,target_to_source,strict_r2g_NPDC,pca_NPDC,strict_minus_pca_NPDC
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_futures_MTC,0.4862469964357204,0.5540042768664265,-0.06775728043070611,1.0652669527779792,-1.1330242332086853
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_futures_MTC,1.1122882238227092,1.122603382595862,-0.0103151587731527,1.8978966712949743,-1.908211830068127
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_futures_MTC,0.8772550625243313,1.2165938591473615,-0.33933879662303024,6.822478204794424,-7.161817001417455
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,gold_spot_MTC,2.788371336663427,3.32942335516774,-0.5410520185043128,1.7743921953404338,-2.3154442138447466
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,silver_spot_MTC,2.6310211886133903,3.0215289471955917,-0.39050775858220144,0.6312250172094965,-1.021732775791698
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,platinum_spot_MTC,1.573580600283396,1.7402167573804406,-0.1666361570970445,1.508400319591239,-1.6750364766882835
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,silver_futures_MTC,palladium_spot_MTC,0.37298388072294436,0.5515079020480101,-0.17852402132506578,1.5220960487832085,-1.7006200701082743
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_futures_MTC,3.7233669910238403,3.8233612456360073,-0.09999425461216704,-5.202667405951806,5.102673151339639
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_futures_MTC,1.122603382595862,1.1122882238227092,0.0103151587731527,-1.8978966712949743,1.908211830068127
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_futures_MTC,6.671686830719656,6.703191528283527,-0.03150469756387064,0.6492106862588859,-0.6807153838227565
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,gold_spot_MTC,5.775447010262303,6.242903929908616,-0.4674569196463132,-2.963528795965084,2.4960718763187706
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,silver_spot_MTC,17.35524013083891,18.1996413734206,-0.8444012425816894,-5.276236359018505,4.431835116436815
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,platinum_spot_MTC,43.91904637541676,44.632901350634505,-0.7138549752177425,0.0975908751436105,-0.8114458503613531
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_futures_MTC,palladium_spot_MTC,6.431580888538342,6.337475150982004,0.09410573755633767,0.7474268982169006,-0.6533211606605629
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,gold_futures_MTC,1.543008079102833,1.5115586693629122,0.03144940973992094,-1.8820355869931589,1.9134849967330798
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,silver_futures_MTC,1.2165938591473615,0.8772550625243313,0.33933879662303024,-6.822478204794424,7.161817001417455
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_futures_MTC,platinum_futures_MTC,6.703191528283527,6.671686830719656,0.03150469756387064,-0.6492106862588859,0.6807153838227565
