date,window_size,window_start,window_end,network_id,network_type,network_scale,network_metal,target,source,r2g,r2g_percent
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,platinum_futures_MTC,0.43919046375416765,43.91904637541676
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,palladium_futures_MTC,0.0776746211238042,7.767462112380421
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,gold_spot_MTC,0.062235946521582035,6.223594652158203
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,silver_spot_MTC,0.17770048011992573,17.77004801199257
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,platinum_spot_MTC,palladium_spot_MTC,0.06932727422680221,6.932727422680221
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,gold_futures_MTC,0.02416452253596708,2.416452253596708
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,silver_futures_MTC,0.0037298388072294435,0.37298388072294436
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,platinum_futures_MTC,0.06431580888538342,6.431580888538342
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,palladium_futures_MTC,0.5856415516923448,58.564155169234475
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,gold_spot_MTC,0.024031879678005217,2.403187967800522
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,silver_spot_MTC,0.03668432558302481,3.6684325583024813
,3100,2012-01-04,2026-03-31,same_scale_MTC,same_scale_cross_metal,MTC,,palladium_spot_MTC,platinum_spot_MTC,0.07366741288323207,7.366741288323207
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,silver_futures_LTC,0.1493519413679865,14.93519413679865
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,platinum_futures_LTC,0.03717977490272836,3.7179774902728364
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_futures_LTC,0.023715319254440547,2.371531925444055
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,gold_spot_LTC,0.14369692660875366,14.369692660875366
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,silver_spot_LTC,0.17633079451944336,17.633079451944337
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,platinum_spot_LTC,0.027973587656003503,2.7973587656003502
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_futures_LTC,palladium_spot_LTC,0.033354734099156756,3.3354734099156755
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_futures_LTC,0.15824963201412304,15.824963201412304
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,platinum_futures_LTC,0.009029889593677051,0.9029889593677052
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_futures_LTC,0.035008383200122103,3.5008383200122104
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,gold_spot_LTC,0.4249470715793963,42.49470715793963
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,silver_spot_LTC,0.03754609694091482,3.754609694091482
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,platinum_spot_LTC,0.005451435382186922,0.5451435382186922
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_futures_LTC,palladium_spot_LTC,0.011882500052906779,1.188250005290678
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,gold_futures_LTC,0.034427356144110514,3.4427356144110512
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,silver_futures_LTC,0.006662009266035988,0.6662009266035989
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,palladium_futures_LTC,0.027070177784885935,2.7070177784885936
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,gold_spot_LTC,0.019884826900883883,1.9884826900883883
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,silver_spot_LTC,0.16144594025503528,16.14459402550353
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,platinum_spot_LTC,0.5223948094742065,52.239480947420645
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_futures_LTC,palladium_spot_LTC,0.03015016454954161,3.015016454954161
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_futures_LTC,0.03001562586216041,3.001562586216041
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,silver_futures_LTC,0.036912523848129354,3.6912523848129353
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,platinum_futures_LTC,0.027169712797153033,2.7169712797153034
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,gold_spot_LTC,0.15404325659925908,15.404325659925908
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,silver_spot_LTC,0.014053394033053144,1.4053394033053144
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,platinum_spot_LTC,0.029665101515566145,2.9665101515566143
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_futures_LTC,palladium_spot_LTC,0.41115383910997455,41.11538391099746
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,gold_futures_LTC,0.14196407959811633,14.196407959811634
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_futures_LTC,0.38039491136031184,38.03949113603118
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,platinum_futures_LTC,0.018855887236451506,1.8855887236451505
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_futures_LTC,0.14239071862837496,14.239071862837497
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,silver_spot_LTC,0.04572719080281611,4.572719080281611
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,platinum_spot_LTC,0.014154508863485099,1.41545088634851
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,gold_spot_LTC,palladium_spot_LTC,0.028906343391424744,2.8906343391424745
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_futures_LTC,0.17082290181501827,17.08229018150183
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,silver_futures_LTC,0.034660237884681214,3.4660237884681213
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_futures_LTC,0.1515527536832971,15.15527536832971
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_futures_LTC,0.012546204525343642,1.2546204525343643
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,gold_spot_LTC,0.04787671155197467,4.787671155197467
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,platinum_spot_LTC,0.17819534508163443,17.819534508163443
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,silver_spot_LTC,palladium_spot_LTC,0.03651349053692802,3.651349053692802
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,gold_futures_LTC,0.026802119230817087,2.6802119230817087
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_futures_LTC,0.004538644265400659,0.45386442654006587
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,platinum_futures_LTC,0.5031645181002167,50.31645181002167
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_futures_LTC,0.027232020992646832,2.7232020992646833
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,gold_spot_LTC,0.016136918724041025,1.6136918724041025
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,silver_spot_LTC,0.18122292440192084,18.122292440192084
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,platinum_spot_LTC,palladium_spot_LTC,0.0641289284409289,6.412892844092891
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,gold_futures_LTC,0.034891852728752566,3.4891852728752566
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,silver_futures_LTC,0.013012249905227589,1.3012249905227589
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,platinum_futures_LTC,0.031158723194278752,3.1158723194278752
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,palladium_futures_LTC,0.4370126192023488,43.70126192023488
,3100,2012-01-04,2026-03-31,same_scale_LTC,same_scale_cross_metal,LTC,,palladium_spot_LTC,gold_spot_LTC,0.03424987637688819,3.4249876376888193
