target,target_type,model_family,model,feature_set,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,ar_r2_mean,ar_rmse_mean,ar_mae_mean,incremental_r2_vs_ar,rmse_reduction_vs_ar,mae_reduction_vs_ar
tci_same_scale_STC,level,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.8960596484190001,0.11740294536438253,0.5810781448491018,0.21343171849075038,0.42198417532609617,0.14548128293688206,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-0.08179905608782434,-0.25038649408828595,-0.2374653435762968
tci_same_scale_STC,level,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-10.298155715042887,16.466463030158963,4.2746959603947134,1.5595773243169955,3.673384192773776,1.8113626314962983,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-11.27601441954971,-3.9440043096338977,-3.4888653610239766
tci_same_scale_STC,level,ARX,ARX_RandomForest,arx_external_plus_target_lags,-6.462462855154745,9.927651934176644,4.000859311028609,1.6303017190943658,3.447247776837591,1.5487757301225717,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-7.4403215596615695,-3.6701676602677935,-3.2627289450877917
tci_same_scale_STC,level,ARX,ARX_Ridge,arx_external_plus_target_lags,0.3849095968422283,0.8874838720152699,1.051004523233173,0.2562157193104291,0.8445783648107529,0.2993065602587945,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-0.5929491076645961,-0.7203128724723572,-0.6600595330609536
tci_same_scale_STC,level,Exog,Exog_ElasticNet,external_only,-57.456837319582014,95.5608620424822,7.418143895228366,1.2939397359022884,6.469858136512137,1.4167866398488247,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-58.43469602408884,-7.08745224446755,-6.285339304762338
tci_same_scale_STC,level,Exog,Exog_ExtraTrees,external_only,-39.106756216046286,64.65002164848028,6.235140489431824,1.9555692378799416,5.4203944153300085,2.5672014413330815,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-40.08461492055311,-5.904448838671009,-5.235875583580209
tci_same_scale_STC,level,Exog,Exog_RandomForest,external_only,-25.08260818539024,40.22166700168804,5.761650052238127,1.8445544539800984,4.896611787395645,2.233416447737206,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-26.060466889897064,-5.430958401477311,-4.712092955645845
tci_same_scale_STC,level,Exog,Exog_Ridge,external_only,-64.80591274583462,108.52247156792244,7.508547316775247,1.713894687813318,6.632883512617718,1.6462794702123276,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-65.78377145034145,-7.177855666014431,-6.448364680867918
tci_same_scale_STC,level,Mean,Mean,mean_baseline,-26.93940524279121,46.18370869325881,4.83586176835286,1.1661387363653113,4.481511050444272,1.4406226818625396,2.706564177332281,1.7713666593322646,0.9778587045068244,0.33069165076081586,0.18451883174979936,-27.917263947298036,-4.505170117592044,-4.296992218694473
tci_within_gold,ar_residual,AR,AR_Ridge,target_lags,0.9986517917170404,0.0001246543111955024,0.3891048388034685,0.10913949933930486,0.2706146616624275,0.07556191766967882,10.56678581062743,2.765518158463701,0.9986517917170404,0.3891048388034685,0.2706146616624275,0.0,0.0,0.0
