target,model_family,model,feature_set,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,test_std_mean,test_std_std,ar_r2_mean,ar_rmse_mean,ar_mae_mean,incremental_r2_vs_ar,rmse_reduction_vs_ar,mae_reduction_vs_ar
tci_within_palladium,Mean,Mean,mean_baseline,-0.20954971290038915,0.11685574301256568,10.660816416459797,2.11185923434564,9.051359021251919,2.655026377317784,9.675243887890026,1.625521670122426,0.9988089283007543,0.3200178111551865,0.17785155617902362,-1.2083586412011433,-10.340798605304611,-8.873507465072896
tci_within_platinum,AR,AR_Ridge,target_lags,0.9715888285483332,0.04698932287304411,0.5211175176889276,0.4432900586517123,0.21356315615789648,0.05103564950057302,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,0.0,0.0,0.0
tci_within_platinum,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9611914216756147,0.06356599772016885,0.6315898188823407,0.4942111815187207,0.3468992294222892,0.14615628457704338,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-0.010397406872718506,-0.11047230119341311,-0.1333360732643927
tci_within_platinum,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,-0.5038547885347889,1.3795992764341987,7.079825315007688,4.629605896591435,6.079102990781114,4.200665793770482,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-1.4754436170831222,-6.55870779731876,-5.865539834623218
tci_within_platinum,ARX,ARX_RandomForest,arx_external_plus_target_lags,0.2285301298544111,0.5116288915308195,4.976822500915458,2.4022178539859533,4.036535226189881,1.8894997902506512,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-0.743058698693922,-4.45570498322653,-3.8229720700319842
tci_within_platinum,ARX,ARX_Ridge,arx_external_plus_target_lags,0.9424645226437723,0.08588627531570003,0.8923896133068508,0.4934643158893176,0.6551774635054614,0.27985049677768303,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-0.029124305904560832,-0.3712720956179233,-0.4416143073475649
tci_within_platinum,Exog,Exog_ElasticNet,external_only,-7.111898972623148,6.676848295498665,15.436423539443929,4.06330324073933,13.310236989547652,4.779198685322264,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-8.083487801171481,-14.915306021755,-13.096673833389756
tci_within_platinum,Exog,Exog_ExtraTrees,external_only,-2.1005325160000994,3.0729584809051205,10.546244149365592,7.07276287090687,9.22677289972797,7.049641612265207,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-3.0721213445484326,-10.025126631676663,-9.013209743570075
tci_within_platinum,Exog,Exog_RandomForest,external_only,-0.7977243632701628,0.996731889891255,8.09379943325287,3.6349774871624017,6.948307179464769,3.3900490266413725,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-1.7693131918184961,-7.572681915563943,-6.734744023306873
tci_within_platinum,Exog,Exog_Ridge,external_only,-7.971729245896623,7.647264354522855,16.089451084427,4.304931909790765,13.758325404483307,5.140355897026565,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-8.943318074444957,-15.568333566738072,-13.54476224832541
tci_within_platinum,Mean,Mean,mean_baseline,-2.797223162098032,3.5367713331886215,12.152443200688218,7.902459953669692,10.590355224917529,7.966831965674827,6.334569107141765,2.4585409487522654,0.9715888285483332,0.5211175176889276,0.21356315615789648,-3.7688119906463653,-11.63132568299929,-10.376792068759633
tci_within_silver,AR,AR_Ridge,target_lags,0.9917802862781108,0.00592674568495482,0.5084284714846362,0.25922586426101557,0.288313788531384,0.07948401328392549,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,0.0,0.0,0.0
tci_within_silver,ARX,ARX_ElasticNet,arx_external_plus_target_lags,0.9188331500317903,0.11855924571056083,1.2106823584577289,0.9155601544095922,0.9572248771908866,0.9182572677364428,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-0.07294713624632043,-0.7022538869730927,-0.6689110886595026
tci_within_silver,ARX,ARX_ExtraTrees,arx_external_plus_target_lags,0.25962699548926466,0.34458449017164,4.8475682138334335,1.3829177334739615,4.112196370263114,1.1260990459991156,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-0.7321532907888462,-4.339139742348797,-3.8238825817317306
tci_within_silver,ARX,ARX_RandomForest,arx_external_plus_target_lags,0.3927814678010908,0.20345763756261132,4.392467218215942,0.8826889329415867,3.679588850349335,0.8466900663856077,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-0.59899881847702,-3.884038746731306,-3.391275061817951
tci_within_silver,ARX,ARX_Ridge,arx_external_plus_target_lags,0.7901559319580498,0.3074310982582037,1.9213242386423872,1.4733679404431683,1.6637133915904814,1.5064097678687909,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-0.20162435432006098,-1.412895767157751,-1.3753996030590974
tci_within_silver,Exog,Exog_ElasticNet,external_only,-22.267806878163537,32.73681432439089,20.37958636213098,15.325799917654013,18.45903520644101,16.08909012951408,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-23.259587164441648,-19.871157890646344,-18.170721417909625
tci_within_silver,Exog,Exog_ExtraTrees,external_only,-0.1680565105288677,0.5301734718518305,6.085146462830699,1.6655079812421105,5.094496685503809,1.5743875645894725,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-1.1598367968069785,-5.5767179913460625,-4.806182896972425
tci_within_silver,Exog,Exog_RandomForest,external_only,-0.3149433880586455,0.3408820111104952,6.458194440252382,0.9411721234745987,5.45997400936928,0.9731412521174332,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-1.3067236743367563,-5.949765968767745,-5.171660220837897
tci_within_silver,Exog,Exog_Ridge,external_only,-22.019770674228795,30.52351517996452,21.00652373828504,14.127328079242883,18.86938504696924,14.971104036350244,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-23.011550960506906,-20.498095266800405,-18.581071258437856
tci_within_silver,Mean,Mean,mean_baseline,-1.0406591627456423,1.8010745985857908,7.35670959862681,2.1424605075499796,6.229020484930401,2.0043533970101746,5.70247174910763,0.8992636050358169,0.9917802862781108,0.5084284714846362,0.288313788531384,-2.032439449023753,-6.848281127142173,-5.940706696399017
