target,high_state,model_family,model,feature_set,auc_mean,auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,accuracy_mean,accuracy_std,positive_rate_test_mean,positive_rate_test_std,positive_rate_pred_mean,positive_rate_pred_std
tci_within_palladium,high_q90,Exog,Exog_RandomForestClassifier,external_only,0.6864634203195841,0.3095379528653043,0.43945122151837435,0.41834608203235063,0.7653317152103559,0.25140641295296023,0.20183486238532108,0.3495882363900486,0.884318766066838,0.11089796714716191,0.11053984575835475,0.10369174308534039,0.11825192802056556,0.2048183474245973
tci_within_palladium,high_q90,Prevalence,Prevalence,prevalence,0.5,0.0,0.16580976863753213,0.0563504118683367,0.6666666666666666,0.2886751345948129,0.0,0.0,0.8894601542416453,0.10369174308534038,0.11053984575835475,0.10369174308534039,0.0,0.0
tci_within_platinum,high_q75,AR,AR_Logistic,target_lags,,,,,0.9931470129413574,0.009733942252269843,0.0,0.0,0.9931470129413574,0.009733942252269843,0.0,0.0,0.006852987058642586,0.009733942252269848
tci_within_platinum,high_q75,ARX,ARX_ExtraTreesClassifier,arx_external_plus_target_lags,,,,,0.9777360314635378,0.02470587553478092,0.0,0.0,0.9777360314635378,0.02470587553478092,0.0,0.0,0.02226396853646211,0.024705875534780923
tci_within_platinum,high_q75,ARX,ARX_Logistic,arx_external_plus_target_lags,,,,,0.6495682552237823,0.42055640418027834,0.0,0.0,0.6495682552237823,0.42055640418027834,0.0,0.0,0.3504317447762178,0.42055640418027834
tci_within_platinum,high_q75,ARX,ARX_RandomForestClassifier,arx_external_plus_target_lags,,,,,0.9785907323182387,0.02497271654606175,0.0,0.0,0.9785907323182387,0.02497271654606175,0.0,0.0,0.021409267681761254,0.024972716546061736
tci_within_platinum,high_q75,Exog,Exog_ExtraTreesClassifier,external_only,,,,,0.7052270779777207,0.3009505906457305,0.0,0.0,0.7052270779777207,0.3009505906457305,0.0,0.0,0.29477292202227934,0.30095059064573043
tci_within_platinum,high_q75,Exog,Exog_Logistic,external_only,,,,,0.43553709929031265,0.3510786287022051,0.0,0.0,0.43553709929031265,0.3510786287022051,0.0,0.0,0.5644629007096873,0.35107862870220513
tci_within_platinum,high_q75,Exog,Exog_RandomForestClassifier,external_only,,,,,0.8277634961439588,0.2983223755966961,0.0,0.0,0.8277634961439588,0.2983223755966961,0.0,0.0,0.17223650385604114,0.2983223755966961
tci_within_platinum,high_q75,Prevalence,Prevalence,prevalence,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
