feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,target_type,test_end,test_start,test_std,train_end,train_start
external_only,2,0.0984617307820155,Exog_RandomForest,Exog,389,1816,-0.0763602643240604,0.1421034946376407,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.09426240416375825,ARX_RandomForest,ARX,389,1816,-0.009043335727853652,0.13758808917170018,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
external_only,2,0.09215276684384807,Exog_ExtraTrees,Exog,389,1816,0.01279985353468549,0.136090727454394,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.09413637943721924,ARX_ExtraTrees,ARX,389,1816,-0.003162079735398171,0.13718653390863947,tci_same_scale_STC,ar_residual,2024-03-12,2022-03-17,0.13697014956262524,2022-03-16,2013-04-08
target_lags,3,0.21790188703291288,AR_Ridge,AR,390,2205,0.9851967096059616,0.4855843388842046,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,3.9910350515692863,2024-03-12,2013-04-08
external_only,3,0.2789883012617012,Exog_Ridge,Exog,390,2205,-0.2556019733670898,0.538252155949127,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.30430964055480664,ARX_Ridge,ARX,390,2205,-0.2648098929721885,0.5402221788328895,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
external_only,3,0.23341413319508153,Exog_ElasticNet,Exog,390,2205,-0.08526790493655723,0.5004126307843688,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.234898126207336,ARX_ElasticNet,ARX,390,2205,-0.07053379305951624,0.4970041026767705,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
external_only,3,0.21602565342439098,Exog_RandomForest,Exog,390,2205,-0.01825384123671392,0.48471650916828907,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.2171958450887497,ARX_RandomForest,ARX,390,2205,-0.023189261306459263,0.48588978624468154,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
external_only,3,0.21674076998536557,Exog_ExtraTrees,Exog,390,2205,-0.017722450759540598,0.4845900145065045,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.21570758275622823,ARX_ExtraTrees,ARX,390,2205,-0.010945803392280684,0.48297396462507997,tci_same_scale_STC,ar_residual,2026-03-31,2024-03-13,0.48035219906715226,2024-03-12,2013-04-08
mean_baseline,1,6.421905089057247,Mean,Mean,389,1427,-4.765612113217253,7.025887473688601,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
target_lags,1,0.12177677306203999,AR_Ridge,AR,389,1427,0.9957307171899156,0.19118593595723046,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
external_only,1,8.856458585231929,Exog_Ridge,Exog,389,1427,-14.395539142280516,11.480899895339544,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.77445370144454,ARX_Ridge,ARX,389,1427,0.8691951016113753,1.0582553750843107,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
external_only,1,8.076093116692586,Exog_ElasticNet,Exog,389,1427,-11.273405610658324,10.250877003843277,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.21165654678233814,ARX_ElasticNet,ARX,389,1427,0.9910848884163718,0.27627518014765157,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
external_only,1,2.3115858917531926,Exog_RandomForest,Exog,389,1427,-0.15053456048735292,3.13854466507348,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,2.0888157356569756,ARX_RandomForest,ARX,389,1427,0.17398727343124887,2.6593276459769326,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
external_only,1,2.3347579727634273,Exog_ExtraTrees,Exog,389,1427,-0.10147907732877881,3.0709065814651826,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,1.907909709002857,ARX_ExtraTrees,ARX,389,1427,0.18019189775042588,2.6493210015849957,tci_same_scale_MTC,level,2022-03-16,2020-03-04,2.926028009651758,2020-03-03,2013-04-08
mean_baseline,2,4.342435469729372,Mean,Mean,389,1816,-2.6331214214099883,5.06446514286367,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
target_lags,2,0.06181001841678085,AR_Ridge,AR,389,1816,0.9990393141211636,0.08235393089438085,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,5.657029361601886,Exog_Ridge,Exog,389,1816,-5.170739882038792,6.600278331799087,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.2811581883578943,ARX_Ridge,ARX,389,1816,0.9814542212026683,0.36183966098900466,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,4.6441764036314765,Exog_ElasticNet,Exog,389,1816,-3.2870312043065804,5.50138390370618,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.10161055179673807,ARX_ElasticNet,ARX,389,1816,0.9975474433953457,0.13158401987795418,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,3.7993687145707136,Exog_RandomForest,Exog,389,1816,-2.0125350839203677,4.6116855473257345,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,2.5872903959370652,ARX_RandomForest,ARX,389,1816,-0.49807968296434235,3.2520790012841836,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
external_only,2,3.2022396287598576,Exog_ExtraTrees,Exog,389,1816,-1.0456772523560303,3.800250178244918,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,3.053876719900229,ARX_ExtraTrees,ARX,389,1816,-0.9115673915002005,3.673570990472446,tci_same_scale_MTC,level,2024-03-12,2022-03-17,2.6570126990566743,2022-03-16,2013-04-08
mean_baseline,3,4.479722302807426,Mean,Mean,390,2205,-0.7215655540498489,5.69422052784837,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
target_lags,3,0.08980728752135107,AR_Ridge,AR,390,2205,0.9989743282186277,0.1389878074792338,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,5.9387623946228905,Exog_Ridge,Exog,390,2205,-1.331686347784176,6.626856484769695,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.19169439862663148,ARX_Ridge,ARX,390,2205,0.9963421926745195,0.2624719592350554,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,5.457178739454864,Exog_ElasticNet,Exog,390,2205,-0.9892144323667007,6.120872050141922,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.12773820900330493,ARX_ElasticNet,ARX,390,2205,0.9984147605558866,0.17279052945972892,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
external_only,3,4.330414540504859,Exog_RandomForest,Exog,390,2205,-0.19411804243574404,4.742377599313916,tci_same_scale_MTC,level,2026-03-31,2024-03-13,4.339827829178765,2024-03-12,2013-04-08
