accuracy,auc,average_precision,balanced_accuracy,f1,feature_set,fold,high_state,model,model_family,n_test,n_train,positive_rate_pred,positive_rate_test,target,test_end,test_start,train_end,train_start
1.0,,,1.0,0.0,target_lags,1,high_q75,AR_Logistic,AR,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.15681233933161953,,,0.15681233933161953,0.0,external_only,1,high_q75,Exog_Logistic,Exog,389,1427,0.8431876606683805,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q75,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q75,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.16709511568123395,,,0.16709511568123395,0.0,arx_external_plus_target_lags,1,high_q75,ARX_Logistic,ARX,389,1427,0.8329048843187661,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q75,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q75,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,prevalence,2,high_q75,Prevalence,Prevalence,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,target_lags,2,high_q75,AR_Logistic,AR,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q75,Exog_Logistic,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q75,Exog_RandomForestClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q75,Exog_ExtraTreesClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.9948586118251928,,,0.9948586118251928,0.0,arx_external_plus_target_lags,2,high_q75,ARX_Logistic,ARX,389,1816,0.005141388174807198,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q75,ARX_RandomForestClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,2,high_q75,ARX_ExtraTreesClassifier,ARX,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,prevalence,3,high_q75,Prevalence,Prevalence,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,target_lags,3,high_q75,AR_Logistic,AR,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.8641025641025641,,,0.8641025641025641,0.0,external_only,3,high_q75,Exog_Logistic,Exog,390,2205,0.1358974358974359,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q75,Exog_RandomForestClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,external_only,3,high_q75,Exog_ExtraTreesClassifier,Exog,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
0.8102564102564103,,,0.8102564102564103,0.0,arx_external_plus_target_lags,3,high_q75,ARX_Logistic,ARX,390,2205,0.18974358974358974,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q75,ARX_RandomForestClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,3,high_q75,ARX_ExtraTreesClassifier,ARX,390,2205,0.0,0.0,tci_same_scale_MTC,2026-03-31,2024-03-13,2024-03-12,2013-04-08
1.0,,,1.0,0.0,prevalence,1,high_q90,Prevalence,Prevalence,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,target_lags,1,high_q90,AR_Logistic,AR,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.8817480719794345,,,0.8817480719794345,0.0,external_only,1,high_q90,Exog_Logistic,Exog,389,1427,0.11825192802056556,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q90,Exog_RandomForestClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,external_only,1,high_q90,Exog_ExtraTreesClassifier,Exog,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
0.699228791773779,,,0.699228791773779,0.0,arx_external_plus_target_lags,1,high_q90,ARX_Logistic,ARX,389,1427,0.30077120822622105,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q90,ARX_RandomForestClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,arx_external_plus_target_lags,1,high_q90,ARX_ExtraTreesClassifier,ARX,389,1427,0.0,0.0,tci_same_scale_MTC,2022-03-16,2020-03-04,2020-03-03,2013-04-08
1.0,,,1.0,0.0,prevalence,2,high_q90,Prevalence,Prevalence,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,target_lags,2,high_q90,AR_Logistic,AR,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.8174807197943444,,,0.8174807197943444,0.0,external_only,2,high_q90,Exog_Logistic,Exog,389,1816,0.18251928020565553,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q90,Exog_RandomForestClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
1.0,,,1.0,0.0,external_only,2,high_q90,Exog_ExtraTreesClassifier,Exog,389,1816,0.0,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
0.7506426735218509,,,0.7506426735218509,0.0,arx_external_plus_target_lags,2,high_q90,ARX_Logistic,ARX,389,1816,0.2493573264781491,0.0,tci_same_scale_MTC,2024-03-12,2022-03-17,2022-03-16,2013-04-08
