target,importance_mode,fold,feature,group,tree_importance
tci_same_scale_STC,external_only,3,industrial_production_lag20,INFLATION_GROWTH,0.001052434527932585
tci_same_scale_STC,external_only,3,industrial_production_ma20_lag1,INFLATION_GROWTH,0.0002998855582968081
tci_same_scale_STC,external_only,3,industrial_production_std20_lag1,INFLATION_GROWTH,8.762355334107546e-06
tci_same_scale_STC,external_only,3,vix_close_logret_lag1,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,vix_close_logret_lag5,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,vix_close_logret_lag20,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,vix_close_logret_ma20_lag1,RISK_STRESS,6.268669714319532e-06
tci_same_scale_STC,external_only,3,vix_close_logret_std20_lag1,RISK_STRESS,0.0
tci_same_scale_STC,external_only,3,vix_close_lag1,RISK_STRESS,1.7353911744910495e-05
tci_same_scale_STC,external_only,3,vix_close_lag5,RISK_STRESS,4.2286543553630345e-06
tci_same_scale_STC,external_only,3,vix_close_lag20,RISK_STRESS,6.980215728024648e-05
tci_same_scale_STC,external_only,3,vix_close_ma20_lag1,RISK_STRESS,0.0011132863182702307
tci_same_scale_STC,external_only,3,vix_close_std20_lag1,RISK_STRESS,5.0546232407246856e-05
