analysis_type,base_score,fold,group,high_state,importance_drop,importance_positive,mode,model_type,n_features,permuted_score_mean,permuted_score_std,signed_importance,target
classification,,3,CFTC_SILVER,high_q75,17.169350343780533,17.169350343780533,external_only,LogisticCoefficient,35,,,1.203922793133065,tci_same_scale_MTC
classification,,3,GPR,high_q75,10.646192813965234,10.646192813965234,external_only,LogisticCoefficient,25,,,-1.1742902456298792,tci_same_scale_MTC
classification,,3,INFLATION_GROWTH,high_q75,7.433397747481109,7.433397747481109,external_only,LogisticCoefficient,15,,,-2.6263535051056,tci_same_scale_MTC
classification,,3,OIL,high_q75,2.727589743113018,2.727589743113018,external_only,LogisticCoefficient,10,,,-0.17702039362614083,tci_same_scale_MTC
classification,,3,RATE,high_q75,5.371897265598807,5.371897265598807,external_only,LogisticCoefficient,20,,,1.3729731784746078,tci_same_scale_MTC
classification,,3,REL_GOLD_PLATINUM,high_q75,5.775152412721649,5.775152412721649,external_only,LogisticCoefficient,20,,,1.0340637536564314,tci_same_scale_MTC
classification,,3,REL_GOLD_SILVER,high_q75,5.4308654394469995,5.4308654394469995,external_only,LogisticCoefficient,20,,,-3.9946082860192322,tci_same_scale_MTC
classification,,3,REL_PLATINUM_PALLADIUM,high_q75,4.8046465085126995,4.8046465085126995,external_only,LogisticCoefficient,20,,,0.6124605169227343,tci_same_scale_MTC
classification,,3,RISK_STRESS,high_q75,5.867963184680564,5.867963184680564,external_only,LogisticCoefficient,15,,,1.28044935837367,tci_same_scale_MTC
classification,,3,USD,high_q75,3.990988860138767,3.990988860138767,external_only,LogisticCoefficient,10,,,-2.858149586451688,tci_same_scale_MTC
classification,,3,CFTC_GOLD,high_q75,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,CFTC_PALLADIUM,high_q75,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,CFTC_PLATINUM,high_q75,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,CFTC_SILVER,high_q75,,,external_only,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,GPR,high_q75,,,external_only,RandomForestClassifierPermutation,25,,,,tci_same_scale_MTC
classification,,3,INFLATION_GROWTH,high_q75,,,external_only,RandomForestClassifierPermutation,15,,,,tci_same_scale_MTC
classification,,3,OIL,high_q75,,,external_only,RandomForestClassifierPermutation,10,,,,tci_same_scale_MTC
classification,,3,RATE,high_q75,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,REL_GOLD_PLATINUM,high_q75,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,REL_GOLD_SILVER,high_q75,,,external_only,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
