feature_set,fold,mae,model,model_family,n_test,n_train,r2,rmse,target,test_end,test_start,test_std,train_end,train_start
arx_external_plus_target_lags,3,0.5836832134980868,ARX_ElasticNet,ARX,390,2205,0.9939061883549286,0.7704069969158901,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
external_only,3,10.076633732462035,Exog_RandomForest,Exog,390,2205,-0.32507559593331914,11.36046303853123,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,6.11369185679436,ARX_RandomForest,ARX,390,2205,0.42977330692253346,7.452456966567523,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
external_only,3,9.8263060290326,Exog_ExtraTrees,Exog,390,2205,-0.32581652178668974,11.363638738273469,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,7.434228322552506,ARX_ExtraTrees,ARX,390,2205,0.24420867127885948,8.579789991345082,tci_within_gold,2026-03-31,2024-03-13,9.869058089439527,2024-03-12,2013-04-08
mean_baseline,1,8.503036132932884,Mean,Mean,389,1427,-3.120360779630965,9.771005137093102,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
target_lags,1,0.25558361461802087,AR_Ridge,AR,389,1427,0.9938041764123469,0.378896977741182,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
external_only,1,35.71353907824218,Exog_Ridge,Exog,389,1427,-57.02291195642479,36.666662377525995,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,3.3888997342570026,ARX_Ridge,ARX,389,1427,0.4354233095945187,3.6168715968260643,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
external_only,1,36.71159104602973,Exog_ElasticNet,Exog,389,1427,-59.917822158984116,37.570225665693,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,2.01614876538085,ARX_ElasticNet,ARX,389,1427,0.7820371097272714,2.247309555487111,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
external_only,1,4.615103744850137,Exog_RandomForest,Exog,389,1427,-0.3641525340154468,5.622158516436743,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,2.7461089021209464,ARX_RandomForest,ARX,389,1427,0.4922865499381318,3.4298960150074493,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
external_only,1,3.4602413135699415,Exog_ExtraTrees,Exog,389,1427,0.19994521270866705,4.305578219094398,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,2.8093813242918073,ARX_ExtraTrees,ARX,389,1427,0.4970439711762096,3.4137886368062946,tci_within_silver,2022-03-16,2020-03-04,4.813617964809583,2020-03-03,2013-04-08
mean_baseline,2,4.719088855593394,Mean,Mean,389,1816,-3.491109364839318e-05,5.68210079773687,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
target_lags,2,0.23042081091309832,AR_Ridge,AR,389,1816,0.9964299854913706,0.3394973146577638,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
external_only,2,13.814771809205707,Exog_Ridge,Exog,389,1816,-8.091721297303462,17.1326447589261,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.9936545056148886,ARX_Ridge,ARX,389,1816,0.955798116325225,1.194597885183995,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
external_only,2,12.331419519651416,Exog_ElasticNet,Exog,389,1816,-6.3679101972088175,15.423165357892275,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.3807889081854907,ARX_ElasticNet,ARX,389,1816,0.9918601291610185,0.5126371902988286,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
external_only,2,6.477518243170941,Exog_RandomForest,Exog,389,1816,-0.7602750925744928,7.538616051180407,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,4.30146983330841,ARX_RandomForest,ARX,389,1816,0.22736571405045647,4.994457720187858,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
external_only,2,6.277333949515214,Exog_ExtraTrees,Exog,389,1816,-0.6548880917104929,7.309466303410493,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,5.403606777138492,ARX_ExtraTrees,ARX,389,1816,-0.2197862527999641,6.27542610726577,tci_within_silver,2024-03-12,2022-03-17,5.68200161615723,2022-03-16,2013-04-08
mean_baseline,3,5.4649364662649225,Mean,Mean,390,2205,-0.0015817975123137984,6.617022861050456,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
target_lags,3,0.37893694006303275,AR_Ridge,AR,390,2205,0.9851066969306147,0.806891122054963,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
external_only,3,7.079844253459834,Exog_Ridge,Exog,390,2205,-0.9446787689581333,9.220264078403023,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.6085859348995527,ARX_Ridge,ARX,390,2205,0.9792463699544058,0.9525032339171029,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
external_only,3,6.334095053641883,Exog_ElasticNet,Exog,390,2205,-0.5176882782976748,8.14536806280766,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,0.47473695800631854,ARX_ElasticNet,ARX,390,2205,0.982602211207081,0.8721003295872468,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
external_only,3,5.642951204503998,Exog_RandomForest,Exog,390,2205,0.0042813712223922495,6.597626708599667,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,3.6723408610150554,ARX_RandomForest,ARX,390,2205,0.538603093806892,4.491141750135566,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
external_only,3,5.403532902532767,Exog_ExtraTrees,Exog,390,2205,0.05974910760793373,6.411229163723617,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
arx_external_plus_target_lags,3,4.288799323594211,ARX_ExtraTrees,ARX,390,2205,0.3915545099385159,5.1573934180714796,tci_within_silver,2026-03-31,2024-03-13,6.611795666356079,2024-03-12,2013-04-08
mean_baseline,1,18.538405684039347,Mean,Mean,389,1427,-6.840729281876587,19.8472074659034,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
target_lags,1,0.2020239409967743,AR_Ridge,AR,389,1427,0.9982079963695283,0.3000479213728953,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
external_only,1,10.025758067142949,Exog_Ridge,Exog,389,1427,-2.0590058922430496,12.396849723277647,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.6963721260557528,ARX_Ridge,ARX,389,1427,0.9867232256979572,0.8167092344820562,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
external_only,1,10.043687135132334,Exog_ElasticNet,Exog,389,1427,-1.9342695470737352,12.141467538868026,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,0.27193410235673654,ARX_ElasticNet,ARX,389,1427,0.9973001096909052,0.36829365758912436,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
external_only,1,9.361161402171282,Exog_RandomForest,Exog,389,1427,-1.3797227242761028,10.934133164347937,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,6.383960861034882,ARX_RandomForest,ARX,389,1427,-0.25420489346587916,7.937896378870057,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
external_only,1,16.861759339526447,Exog_ExtraTrees,Exog,389,1427,-5.568394568089735,18.16564390131014,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
arx_external_plus_target_lags,1,10.841352954696353,ARX_ExtraTrees,ARX,389,1427,-1.9915401378101594,12.259382541752931,tci_within_platinum,2022-03-16,2020-03-04,7.087958725090686,2020-03-03,2013-04-08
mean_baseline,2,10.627786338598852,Mean,Mean,389,1816,-1.2717514314463672,12.552628077137548,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
target_lags,2,0.16928506244215094,AR_Ridge,AR,389,1816,0.9992250794985305,0.23183704439281516,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
external_only,2,19.62138459252666,Exog_Ridge,Exog,389,1816,-5.248264427545448,20.817758034714362,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.35701293247547844,ARX_Ridge,ARX,389,1816,0.9971943129969749,0.44113738685920456,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
external_only,2,18.795521666256278,Exog_ElasticNet,Exog,389,1816,-4.753551032940683,19.97663069088039,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
arx_external_plus_target_lags,2,0.2534358811655031,ARX_ElasticNet,ARX,389,1816,0.9984792682057617,0.32477348760442076,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
external_only,2,6.784092044377588,Exog_RandomForest,Exog,389,1816,0.1603473922717905,7.631397521179583,tci_within_platinum,2024-03-12,2022-03-17,8.328259638015401,2022-03-16,2013-04-08
